timestamp,link,util_bps,capacity_bps,util_pct,congested
13:51:03,s1-s2,12159700,10000000,121.6,1
13:51:03,s2-s3,16136876,10000000,161.4,1
13:51:03,s3-s4,13129228,10000000,131.3,1
13:51:03,s1-s5,8102948,5000000,162.1,1
13:51:03,s5-s3,8104572,5000000,162.1,1
13:51:03,s2-s4,10046876,5000000,200.9,1
13:51:05,s1-s2,12149424,10000000,121.5,1
13:51:05,s2-s3,16128504,10000000,161.3,1
13:51:05,s3-s4,13125168,10000000,131.3,1
13:51:05,s1-s5,8099700,5000000,162.0,1
13:51:05,s5-s3,8098076,5000000,162.0,1
13:51:05,s2-s4,10048500,5000000,201.0,1
13:51:07,s1-s2,12152392,10000000,121.5,1
13:51:07,s2-s3,16122260,10000000,161.2,1
13:51:07,s3-s4,13121920,10000000,131.2,1
13:51:07,s1-s5,8101324,5000000,162.0,1
13:51:07,s5-s3,8101324,5000000,162.0,1
13:51:07,s2-s4,10041192,5000000,200.8,1
13:51:09,s1-s2,12143460,10000000,121.4,1
13:51:09,s2-s3,16136064,10000000,161.4,1
13:51:09,s3-s4,13120576,10000000,131.2,1
13:51:09,s1-s5,8098888,5000000,162.0,1
13:51:09,s5-s3,8098888,5000000,162.0,1
13:51:09,s2-s4,10044440,5000000,200.9,1
13:51:11,s1-s2,12149144,10000000,121.5,1
13:51:11,s2-s3,16136064,10000000,161.4,1
13:51:11,s3-s4,13120296,10000000,131.2,1
13:51:11,s1-s5,8094016,5000000,161.9,1
13:51:11,s5-s3,8098888,5000000,162.0,1
13:51:11,s2-s4,10041192,5000000,200.8,1
13:51:13,s1-s2,12130188,10000000,121.3,1
13:51:13,s2-s3,16096388,10000000,161.0,1
13:51:13,s3-s4,13108704,10000000,131.1,1
13:51:13,s1-s5,8090936,5000000,161.8,1
13:51:13,s5-s3,8090656,5000000,161.8,1
13:51:13,s2-s4,10048752,5000000,201.0,1
13:51:15,s1-s2,12126716,10000000,121.3,1
13:51:15,s2-s3,16088632,10000000,160.9,1
13:51:15,s3-s4,13101200,10000000,131.0,1
13:51:15,s1-s5,8081528,5000000,161.6,1
13:51:15,s5-s3,8087212,5000000,161.7,1
13:51:15,s2-s4,10042312,5000000,200.8,1
13:51:17,s1-s2,12154828,10000000,121.5,1
